               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.025572,            0.014819,           0.0057088,               0.948,             0.96802,             0.97654,             0.74151,            0.021996,           0.0052536,           0.0014206,            0.003664,            0.003664,            0.003664
                  98,            0.025617,             0.01478,             0.00583,               0.947,             0.96874,              0.9771,             0.74252,            0.021956,           0.0052549,           0.0014021,            0.003598,            0.003598,            0.003598
                  99,            0.025369,            0.014772,           0.0056762,             0.94712,             0.96845,             0.97658,             0.74355,            0.021924,           0.0052562,           0.0014008,            0.003532,            0.003532,            0.003532
                 100,            0.025357,            0.014725,           0.0056781,             0.94654,             0.96957,             0.97683,             0.74326,            0.021942,           0.0052499,           0.0014195,            0.003466,            0.003466,            0.003466
                 101,            0.025242,            0.014714,            0.005612,             0.94735,             0.97108,             0.97681,             0.74388,            0.021915,           0.0052347,           0.0014361,              0.0034,              0.0034,              0.0034
                 102,            0.025261,            0.014713,           0.0055416,             0.94895,             0.96732,             0.97691,             0.74462,            0.021918,           0.0052262,            0.001433,            0.003334,            0.003334,            0.003334
                 103,            0.025132,            0.014591,             0.00549,             0.94394,             0.97375,             0.97648,             0.74566,            0.021892,           0.0052256,           0.0014348,            0.003268,            0.003268,            0.003268
                 104,            0.024939,            0.014511,           0.0056227,             0.94611,             0.96942,             0.97694,             0.74576,            0.021848,           0.0052166,           0.0014324,            0.003202,            0.003202,            0.003202
                 105,            0.024909,            0.014491,           0.0054607,              0.9454,             0.97041,             0.97707,              0.7461,            0.021813,           0.0052112,           0.0014403,            0.003136,            0.003136,            0.003136
                 106,             0.02495,            0.014656,           0.0054609,             0.94588,             0.97064,             0.97658,             0.74647,            0.021809,           0.0051988,           0.0014213,             0.00307,             0.00307,             0.00307
                 107,            0.024592,            0.014479,            0.005123,              0.9448,             0.97315,             0.97733,             0.74753,            0.021781,           0.0051913,           0.0014303,            0.003004,            0.003004,            0.003004
                 108,            0.024674,            0.014507,           0.0051249,             0.94516,             0.97152,             0.97667,             0.74943,            0.021715,           0.0051762,           0.0014408,            0.002938,            0.002938,            0.002938
                 109,            0.024425,            0.014389,           0.0051935,             0.94629,             0.97122,             0.97698,             0.74919,             0.02171,           0.0051669,            0.001434,            0.002872,            0.002872,            0.002872
                 110,            0.024444,            0.014399,           0.0050901,             0.94627,             0.97129,             0.97654,             0.74971,            0.021713,            0.005163,           0.0014306,            0.002806,            0.002806,            0.002806
                 111,             0.02434,            0.014302,           0.0049386,             0.94702,             0.97143,             0.97688,              0.7503,            0.021703,            0.005157,           0.0014162,             0.00274,             0.00274,             0.00274
                 112,            0.024272,            0.014334,           0.0050848,             0.94692,             0.97117,             0.97701,             0.75073,            0.021674,           0.0051548,           0.0014036,            0.002674,            0.002674,            0.002674
                 113,            0.024119,            0.014323,           0.0047329,             0.94839,             0.97132,              0.9772,             0.75112,            0.021623,           0.0051515,           0.0013936,            0.002608,            0.002608,            0.002608
                 114,            0.023929,            0.014156,           0.0048433,               0.948,             0.97136,             0.97736,             0.75228,            0.021575,           0.0051441,           0.0013795,            0.002542,            0.002542,            0.002542
                 115,            0.023965,            0.014203,           0.0049083,             0.94892,             0.97131,             0.97703,             0.75207,            0.021552,           0.0051359,           0.0013691,            0.002476,            0.002476,            0.002476
                 116,            0.023812,            0.014189,           0.0048912,             0.94897,             0.97073,             0.97674,             0.75292,            0.021515,           0.0051277,            0.001352,             0.00241,             0.00241,             0.00241
                 117,            0.023659,            0.014019,           0.0046632,             0.94936,             0.97146,             0.97679,             0.75373,            0.021481,           0.0051229,           0.0013394,            0.002344,            0.002344,            0.002344
                 118,            0.023565,            0.013993,           0.0045974,             0.94938,             0.97074,             0.97679,             0.75399,            0.021457,           0.0051207,           0.0013351,            0.002278,            0.002278,            0.002278
                 119,            0.023463,            0.014015,           0.0046392,             0.94967,             0.97114,             0.97726,             0.75427,            0.021425,           0.0051168,           0.0013368,            0.002212,            0.002212,            0.002212
                 120,            0.023388,            0.013905,           0.0043455,              0.9488,             0.97229,              0.9773,             0.75463,            0.021389,           0.0051133,           0.0013305,            0.002146,            0.002146,            0.002146
                 121,            0.023196,            0.013849,           0.0044101,             0.94817,             0.97169,             0.97693,             0.75566,            0.021345,           0.0051063,           0.0013254,             0.00208,             0.00208,             0.00208
                 122,            0.023164,             0.01384,           0.0044442,             0.94875,             0.97039,             0.97691,             0.75594,            0.021298,           0.0051002,           0.0013203,            0.002014,            0.002014,            0.002014
                 123,             0.02313,            0.013763,            0.004311,             0.95046,             0.96991,             0.97675,             0.75683,            0.021277,           0.0050931,           0.0013142,            0.001948,            0.001948,            0.001948
                 124,             0.02283,            0.013758,           0.0043016,              0.9513,             0.96896,             0.97673,              0.7569,            0.021254,           0.0050897,           0.0013112,            0.001882,            0.001882,            0.001882
                 125,            0.022742,            0.013617,           0.0041901,             0.95064,             0.96973,             0.97695,             0.75714,            0.021228,           0.0050891,           0.0013105,            0.001816,            0.001816,            0.001816
                 126,            0.022767,            0.013636,           0.0042693,             0.95035,             0.97079,             0.97689,             0.75762,            0.021216,            0.005089,           0.0013096,             0.00175,             0.00175,             0.00175
                 127,            0.022647,            0.013607,           0.0040915,             0.95087,             0.97014,             0.97695,             0.75796,            0.021202,           0.0050879,           0.0013068,            0.001684,            0.001684,            0.001684
                 128,            0.022525,            0.013532,           0.0040402,             0.95167,             0.97044,             0.97707,             0.75854,            0.021188,           0.0050859,           0.0012997,            0.001618,            0.001618,            0.001618
                 129,            0.022407,            0.013464,           0.0039375,             0.95246,             0.97059,             0.97745,             0.75929,            0.021171,           0.0050842,           0.0012961,            0.001552,            0.001552,            0.001552
                 130,            0.022269,            0.013604,           0.0040669,              0.9532,             0.96962,             0.97743,             0.75914,            0.021154,           0.0050819,           0.0012959,            0.001486,            0.001486,            0.001486
                 131,            0.022209,            0.013488,           0.0040368,             0.95432,             0.96885,             0.97741,             0.75922,            0.021142,           0.0050807,           0.0012934,             0.00142,             0.00142,             0.00142
                 132,            0.022108,            0.013348,           0.0037546,             0.95387,             0.96869,             0.97734,             0.75947,             0.02114,           0.0050781,           0.0012925,            0.001354,            0.001354,            0.001354
                 133,            0.021933,            0.013348,           0.0039287,              0.9546,             0.96744,             0.97753,             0.76006,            0.021133,            0.005075,           0.0012904,            0.001288,            0.001288,            0.001288
                 134,            0.021862,             0.01326,           0.0038174,             0.95366,             0.96838,             0.97764,             0.76058,            0.021123,           0.0050725,           0.0012875,            0.001222,            0.001222,            0.001222
                 135,             0.02166,            0.013136,             0.00369,              0.9544,             0.96825,             0.97753,             0.76093,            0.021119,           0.0050709,           0.0012887,            0.001156,            0.001156,            0.001156
                 136,            0.021645,            0.013329,            0.003758,             0.95497,              0.9678,             0.97765,             0.76158,            0.021113,           0.0050684,           0.0012898,             0.00109,             0.00109,             0.00109
                 137,            0.021454,            0.013228,           0.0035523,             0.95487,             0.96768,             0.97758,             0.76166,            0.021108,           0.0050671,           0.0012894,            0.001024,            0.001024,            0.001024
                 138,             0.02139,            0.013122,           0.0034966,             0.95482,             0.96761,             0.97761,             0.76257,            0.021104,           0.0050649,            0.001287,            0.000958,            0.000958,            0.000958
                 139,            0.021267,            0.013158,           0.0035204,             0.95544,             0.96829,             0.97807,             0.76266,            0.021098,           0.0050636,            0.001285,            0.000892,            0.000892,            0.000892
                 140,            0.021119,            0.013053,           0.0035085,             0.95492,              0.9688,             0.97812,             0.76334,             0.02109,           0.0050629,           0.0012843,            0.000826,            0.000826,            0.000826
                 141,            0.021113,             0.01296,           0.0034686,             0.95425,             0.96982,             0.97833,             0.76353,            0.021088,            0.005062,           0.0012842,             0.00076,             0.00076,             0.00076
                 142,            0.020953,            0.013188,           0.0034799,             0.95403,             0.96994,             0.97828,             0.76406,             0.02108,           0.0050599,            0.001284,            0.000694,            0.000694,            0.000694
                 143,            0.020766,             0.01303,           0.0034409,             0.95397,             0.96945,             0.97828,             0.76423,            0.021074,           0.0050603,            0.001284,            0.000628,            0.000628,            0.000628
                 144,            0.020734,            0.012845,           0.0033005,             0.95309,             0.96934,             0.97823,             0.76451,            0.021068,           0.0050594,            0.001282,            0.000562,            0.000562,            0.000562
                 145,            0.020602,            0.012881,           0.0032447,             0.95272,             0.97009,             0.97817,             0.76452,            0.021062,             0.00506,           0.0012811,            0.000496,            0.000496,            0.000496
                 146,            0.020498,            0.012838,           0.0032114,             0.95266,             0.97042,             0.97818,             0.76491,            0.021055,           0.0050595,           0.0012802,             0.00043,             0.00043,             0.00043
                 147,            0.020426,            0.012794,            0.003198,             0.95368,             0.96956,             0.97826,             0.76516,            0.021048,           0.0050586,             0.00128,            0.000364,            0.000364,            0.000364
                 148,            0.020299,            0.012774,            0.003119,             0.95339,             0.96947,             0.97783,             0.76557,            0.021042,           0.0050578,           0.0012797,            0.000298,            0.000298,            0.000298
                 149,            0.020237,            0.012721,           0.0031424,             0.95306,             0.96935,             0.97742,             0.76563,            0.021034,            0.005058,           0.0012792,            0.000232,            0.000232,            0.000232
